Id,Predicted
0,anger
1,non-neutral
2,non-neutral
3,anger
4,anger
5,non-neutral
6,fear
7,anger
8,non-neutral
9,non-neutral
10,non-neutral
11,anger
12,disgust
13,non-neutral
14,non-neutral
15,anger
16,fear
17,neutral
18,neutral
19,non-neutral
20,sadness
21,non-neutral
22,sadness
23,anger
24,neutral
25,anger
26,anger
27,neutral
28,anger
29,non-neutral
30,sadness
31,non-neutral
32,surprise
33,anger
34,anger
35,anger
36,sadness
37,neutral
38,surprise
39,fear
40,anger
41,neutral
42,non-neutral
43,non-neutral
44,anger
45,anger
46,neutral
47,anger
48,anger
49,non-neutral
50,anger
51,non-neutral
52,anger
53,anger
54,anger
55,anger
56,anger
57,anger
58,sadness
59,anger
60,anger
61,neutral
62,fear
63,non-neutral
64,anger
65,neutral
66,non-neutral
67,non-neutral
68,anger
69,sadness
70,fear
71,disgust
72,disgust
73,non-neutral
74,anger
75,anger
76,anger
77,anger
78,fear
79,anger
80,neutral
81,non-neutral
82,anger
83,anger
84,anger
85,disgust
86,surprise
87,surprise
88,surprise
89,anger
90,non-neutral
91,anger
92,anger
93,anger
94,anger
95,neutral
96,anger
97,anger
98,anger
99,non-neutral
100,anger
101,non-neutral
102,neutral
103,sadness
104,non-neutral
105,sadness
106,anger
107,neutral
108,neutral
109,anger
110,non-neutral
111,disgust
112,non-neutral
113,anger
114,neutral
115,anger
116,neutral
117,sadness
118,anger
119,anger
120,anger
121,neutral
122,anger
123,sadness
124,non-neutral
125,non-neutral
126,non-neutral
127,anger
128,disgust
129,anger
130,sadness
131,non-neutral
132,anger
133,non-neutral
134,neutral
135,anger
136,anger
137,neutral
138,anger
139,sadness
140,sadness
141,sadness
142,anger
143,non-neutral
144,neutral
145,non-neutral
146,non-neutral
147,neutral
148,non-neutral
149,non-neutral
150,non-neutral
151,non-neutral
152,anger
153,anger
154,anger
155,anger
156,anger
157,anger
158,anger
159,anger
160,sadness
161,anger
162,anger
163,anger
164,non-neutral
165,non-neutral
166,sadness
167,neutral
168,non-neutral
169,sadness
170,sadness
171,anger
172,anger
173,neutral
174,anger
175,sadness
176,joy
177,neutral
178,anger
179,anger
180,anger
181,anger
182,sadness
183,anger
184,disgust
185,non-neutral
186,neutral
187,anger
188,anger
189,non-neutral
190,disgust
191,anger
192,anger
193,anger
194,non-neutral
195,sadness
196,anger
197,anger
198,non-neutral
199,anger
200,anger
201,anger
202,anger
203,anger
204,sadness
205,disgust
206,non-neutral
207,sadness
208,anger
209,sadness
210,anger
211,non-neutral
212,sadness
213,anger
214,surprise
215,non-neutral
216,fear
217,neutral
218,anger
219,neutral
220,neutral
221,anger
222,anger
223,anger
224,anger
225,anger
226,surprise
227,neutral
228,anger
229,anger
230,sadness
231,non-neutral
232,neutral
233,fear
234,neutral
235,non-neutral
236,neutral
237,non-neutral
238,non-neutral
239,anger
240,anger
241,anger
242,disgust
243,non-neutral
244,neutral
245,surprise
246,fear
247,non-neutral
248,disgust
249,neutral
250,fear
251,anger
252,non-neutral
253,non-neutral
254,anger
255,fear
256,non-neutral
257,fear
258,sadness
259,sadness
260,anger
261,anger
262,non-neutral
263,anger
264,anger
265,anger
266,anger
267,anger
268,neutral
269,fear
270,disgust
271,disgust
272,disgust
273,anger
274,sadness
275,anger
276,sadness
277,non-neutral
278,anger
279,anger
280,non-neutral
281,neutral
282,anger
283,disgust
284,anger
285,non-neutral
286,non-neutral
287,anger
288,anger
289,non-neutral
290,anger
291,non-neutral
292,anger
293,anger
294,fear
295,disgust
296,anger
297,disgust
298,disgust
299,surprise
300,non-neutral
301,sadness
302,neutral
303,anger
304,anger
305,non-neutral
306,anger
307,sadness
308,neutral
309,anger
310,anger
311,sadness
312,sadness
313,disgust
314,anger
315,anger
316,anger
317,sadness
318,anger
319,disgust
320,anger
321,anger
322,non-neutral
323,sadness
324,disgust
325,non-neutral
326,non-neutral
327,non-neutral
328,anger
329,neutral
330,non-neutral
331,non-neutral
332,disgust
333,sadness
334,anger
335,non-neutral
336,fear
337,sadness
338,non-neutral
339,anger
340,fear
341,sadness
342,neutral
343,anger
344,anger
345,non-neutral
346,sadness
347,disgust
348,anger
349,neutral
350,non-neutral
351,anger
352,non-neutral
353,anger
354,anger
355,anger
356,anger
357,anger
358,anger
359,anger
360,anger
361,non-neutral
362,non-neutral
363,anger
364,non-neutral
365,neutral
366,anger
367,anger
368,neutral
369,anger
370,neutral
371,fear
372,neutral
373,sadness
374,sadness
375,neutral
376,non-neutral
377,non-neutral
378,anger
379,anger
380,anger
381,anger
382,anger
383,non-neutral
384,non-neutral
385,non-neutral
386,sadness
387,anger
388,non-neutral
389,non-neutral
390,anger
391,anger
392,non-neutral
393,sadness
394,non-neutral
395,sadness
396,non-neutral
397,anger
398,joy
399,sadness
400,joy
401,anger
402,anger
403,anger
404,non-neutral
405,disgust
406,anger
407,fear
408,neutral
409,anger
410,anger
411,sadness
412,anger
413,anger
414,joy
415,neutral
416,neutral
417,anger
418,anger
419,neutral
420,anger
421,non-neutral
422,non-neutral
423,disgust
424,anger
425,neutral
426,non-neutral
427,neutral
428,neutral
429,anger
430,anger
431,non-neutral
432,non-neutral
433,anger
434,neutral
435,anger
436,sadness
437,anger
438,non-neutral
439,non-neutral
440,anger
441,anger
442,anger
443,neutral
444,disgust
445,joy
446,anger
447,anger
448,neutral
449,non-neutral
450,anger
451,anger
452,sadness
453,anger
454,fear
455,anger
456,anger
457,non-neutral
458,neutral
459,anger
460,anger
461,non-neutral
462,anger
463,neutral
464,anger
465,fear
466,anger
467,anger
468,non-neutral
469,anger
470,anger
471,neutral
472,non-neutral
473,anger
474,fear
475,sadness
476,anger
477,anger
478,anger
479,anger
480,non-neutral
481,neutral
482,neutral
483,joy
484,anger
485,non-neutral
486,anger
487,anger
488,non-neutral
489,fear
490,anger
491,anger
492,anger
493,anger
494,neutral
495,disgust
496,non-neutral
497,neutral
498,neutral
499,non-neutral
500,non-neutral
501,neutral
502,neutral
503,fear
504,sadness
505,non-neutral
506,anger
507,fear
508,anger
509,anger
510,sadness
511,neutral
512,neutral
513,anger
514,disgust
515,surprise
516,neutral
517,non-neutral
518,non-neutral
519,anger
520,non-neutral
521,non-neutral
522,anger
523,anger
524,non-neutral
525,anger
526,anger
527,non-neutral
528,non-neutral
529,anger
530,anger
531,fear
532,non-neutral
533,anger
534,anger
535,anger
536,non-neutral
537,non-neutral
538,disgust
539,anger
540,sadness
541,anger
542,disgust
543,surprise
544,neutral
545,non-neutral
546,neutral
547,joy
548,neutral
549,sadness
550,disgust
551,neutral
552,neutral
553,sadness
554,anger
555,fear
556,neutral
557,anger
558,fear
559,neutral
560,anger
561,non-neutral
562,neutral
563,anger
564,neutral
565,sadness
566,fear
567,non-neutral
568,anger
569,anger
570,neutral
571,non-neutral
572,non-neutral
573,anger
574,sadness
575,neutral
576,neutral
577,non-neutral
578,anger
579,non-neutral
580,anger
581,anger
582,anger
583,anger
584,anger
585,sadness
586,non-neutral
587,non-neutral
588,anger
589,anger
590,neutral
591,disgust
592,disgust
593,neutral
594,joy
595,neutral
596,non-neutral
597,anger
598,non-neutral
599,anger
600,sadness
601,neutral
602,anger
603,anger
604,sadness
605,anger
606,sadness
607,anger
608,non-neutral
609,anger
610,disgust
611,non-neutral
612,sadness
613,non-neutral
614,sadness
615,surprise
616,non-neutral
617,neutral
618,anger
619,sadness
620,non-neutral
621,sadness
622,neutral
623,non-neutral
624,non-neutral
625,sadness
626,non-neutral
627,anger
628,anger
629,anger
630,sadness
631,anger
632,anger
633,neutral
634,non-neutral
635,sadness
636,non-neutral
637,anger
638,neutral
639,non-neutral
640,neutral
641,anger
642,non-neutral
643,neutral
644,non-neutral
645,non-neutral
646,non-neutral
647,anger
648,non-neutral
649,neutral
650,anger
651,non-neutral
652,joy
653,anger
654,non-neutral
655,disgust
656,anger
657,non-neutral
658,anger
659,anger
660,neutral
661,anger
662,anger
663,neutral
664,sadness
665,neutral
666,non-neutral
667,non-neutral
668,non-neutral
669,non-neutral
670,sadness
671,neutral
672,anger
673,neutral
674,anger
675,sadness
676,anger
677,neutral
678,anger
679,anger
680,neutral
681,non-neutral
682,neutral
683,anger
684,anger
685,non-neutral
686,anger
687,sadness
688,fear
689,sadness
690,anger
691,neutral
692,anger
693,sadness
694,non-neutral
695,non-neutral
696,anger
697,anger
698,non-neutral
699,fear
700,anger
701,non-neutral
702,anger
703,anger
704,neutral
705,non-neutral
706,anger
707,non-neutral
708,non-neutral
709,sadness
710,neutral
711,anger
712,disgust
713,anger
714,anger
715,non-neutral
716,anger
717,anger
718,anger
719,non-neutral
720,anger
721,non-neutral
722,anger
723,neutral
724,neutral
725,anger
726,sadness
727,anger
728,surprise
729,disgust
730,anger
731,neutral
732,non-neutral
733,disgust
734,non-neutral
735,anger
736,neutral
737,non-neutral
738,neutral
739,anger
740,anger
741,neutral
742,anger
743,anger
744,anger
745,neutral
746,non-neutral
747,sadness
748,sadness
749,non-neutral
750,anger
751,disgust
752,anger
753,non-neutral
754,anger
755,anger
756,anger
757,anger
758,anger
759,non-neutral
760,anger
761,non-neutral
762,anger
763,anger
764,non-neutral
765,anger
766,neutral
767,non-neutral
768,anger
769,anger
770,disgust
771,non-neutral
772,anger
773,anger
774,anger
775,anger
776,anger
777,disgust
778,neutral
779,disgust
780,neutral
781,neutral
782,anger
783,anger
784,sadness
785,anger
786,anger
787,anger
788,sadness
789,non-neutral
790,anger
791,anger
792,sadness
793,joy
794,anger
795,anger
796,disgust
797,anger
798,non-neutral
799,anger
800,disgust
801,anger
802,disgust
803,anger
804,anger
805,non-neutral
806,non-neutral
807,non-neutral
808,anger
809,sadness
810,anger
811,neutral
812,joy
813,neutral
814,sadness
815,non-neutral
816,neutral
817,surprise
818,neutral
819,anger
820,anger
821,anger
822,neutral
823,anger
824,neutral
825,neutral
826,anger
827,non-neutral
828,anger
829,anger
830,sadness
831,sadness
832,anger
833,anger
834,disgust
835,anger
836,sadness
837,non-neutral
838,non-neutral
839,anger
840,sadness
841,anger
842,disgust
843,non-neutral
844,anger
845,disgust
846,disgust
847,joy
848,non-neutral
849,anger
850,non-neutral
851,anger
852,non-neutral
853,anger
854,anger
855,anger
856,sadness
857,anger
858,non-neutral
859,non-neutral
860,anger
861,anger
862,non-neutral
863,non-neutral
864,neutral
865,anger
866,anger
867,neutral
868,non-neutral
869,neutral
870,joy
871,anger
872,non-neutral
873,non-neutral
874,non-neutral
875,anger
876,anger
877,anger
878,anger
879,neutral
880,disgust
881,anger
882,anger
883,sadness
884,anger
885,sadness
886,anger
887,non-neutral
888,neutral
889,anger
890,non-neutral
891,anger
892,anger
893,anger
894,sadness
895,anger
896,sadness
897,non-neutral
898,disgust
899,anger
900,non-neutral
901,anger
902,anger
903,anger
904,anger
905,non-neutral
906,anger
907,anger
908,disgust
909,neutral
910,sadness
911,anger
912,disgust
913,neutral
914,sadness
915,anger
916,anger
917,non-neutral
918,anger
919,non-neutral
920,anger
921,anger
922,non-neutral
923,non-neutral
924,sadness
925,anger
926,fear
927,anger
928,surprise
929,non-neutral
930,anger
931,non-neutral
932,anger
933,anger
934,non-neutral
935,anger
936,non-neutral
937,neutral
938,non-neutral
939,sadness
940,anger
941,anger
942,non-neutral
943,sadness
944,non-neutral
945,non-neutral
946,neutral
947,disgust
948,sadness
949,disgust
950,anger
951,non-neutral
952,sadness
953,non-neutral
954,disgust
955,neutral
956,disgust
957,neutral
958,anger
959,neutral
960,anger
961,disgust
962,anger
963,non-neutral
964,anger
965,fear
966,neutral
967,anger
968,anger
969,anger
970,anger
971,surprise
972,fear
973,anger
974,anger
975,disgust
976,non-neutral
977,non-neutral
978,anger
979,anger
980,anger
981,sadness
982,disgust
983,anger
984,non-neutral
985,non-neutral
986,anger
987,non-neutral
988,anger
989,neutral
990,anger
991,anger
992,non-neutral
993,anger
994,anger
995,disgust
996,anger
997,anger
998,anger
999,anger
1000,non-neutral
1001,anger
1002,anger
1003,non-neutral
1004,anger
1005,neutral
1006,disgust
1007,neutral
1008,anger
1009,neutral
1010,anger
1011,non-neutral
1012,anger
1013,anger
1014,anger
1015,non-neutral
1016,anger
1017,anger
1018,neutral
1019,sadness
1020,disgust
1021,neutral
1022,neutral
1023,non-neutral
1024,sadness
1025,anger
1026,neutral
1027,anger
1028,anger
1029,non-neutral
1030,anger
1031,non-neutral
1032,sadness
1033,non-neutral
1034,anger
1035,anger
1036,non-neutral
1037,sadness
1038,neutral
1039,fear
1040,anger
1041,anger
1042,anger
1043,non-neutral
1044,non-neutral
1045,non-neutral
1046,anger
1047,anger
1048,anger
1049,anger
1050,anger
1051,sadness
1052,non-neutral
1053,non-neutral
1054,fear
1055,sadness
1056,disgust
1057,anger
1058,neutral
1059,neutral
1060,non-neutral
1061,fear
1062,anger
1063,non-neutral
1064,neutral
1065,anger
1066,non-neutral
1067,anger
1068,sadness
1069,non-neutral
1070,non-neutral
1071,neutral
1072,anger
1073,anger
1074,non-neutral
1075,sadness
1076,surprise
1077,anger
1078,anger
1079,sadness
1080,non-neutral
1081,non-neutral
1082,non-neutral
1083,surprise
1084,anger
1085,non-neutral
1086,anger
1087,neutral
1088,neutral
1089,neutral
1090,neutral
1091,anger
1092,neutral
1093,anger
1094,anger
1095,fear
1096,fear
1097,anger
1098,neutral
1099,non-neutral
1100,anger
1101,anger
1102,non-neutral
1103,anger
1104,sadness
1105,anger
1106,anger
1107,anger
1108,sadness
1109,anger
1110,anger
1111,neutral
1112,non-neutral
1113,non-neutral
1114,non-neutral
1115,non-neutral
1116,sadness
1117,sadness
1118,disgust
1119,non-neutral
1120,anger
1121,neutral
1122,anger
1123,neutral
1124,non-neutral
1125,neutral
1126,disgust
1127,sadness
1128,non-neutral
1129,anger
1130,disgust
1131,fear
1132,sadness
1133,fear
1134,non-neutral
1135,disgust
1136,anger
1137,non-neutral
1138,neutral
1139,non-neutral
1140,anger
1141,anger
1142,anger
1143,non-neutral
1144,anger
1145,anger
1146,surprise
1147,sadness
1148,fear
1149,anger
1150,anger
1151,non-neutral
1152,sadness
1153,neutral
1154,neutral
1155,neutral
1156,non-neutral
1157,anger
1158,non-neutral
1159,disgust
1160,non-neutral
1161,neutral
1162,anger
1163,joy
1164,anger
1165,sadness
1166,anger
1167,disgust
1168,anger
1169,anger
1170,anger
1171,disgust
1172,anger
1173,non-neutral
1174,anger
1175,sadness
1176,non-neutral
1177,anger
1178,anger
1179,neutral
1180,non-neutral
1181,anger
1182,non-neutral
1183,anger
1184,anger
1185,non-neutral
1186,anger
1187,anger
1188,anger
1189,anger
1190,anger
1191,disgust
1192,neutral
1193,non-neutral
1194,anger
1195,non-neutral
1196,sadness
1197,anger
1198,fear
1199,anger
1200,anger
1201,sadness
1202,anger
1203,anger
1204,surprise
1205,non-neutral
1206,anger
1207,neutral
1208,anger
1209,fear
1210,sadness
1211,anger
1212,anger
1213,sadness
1214,anger
1215,non-neutral
1216,anger
1217,non-neutral
1218,neutral
1219,anger
1220,non-neutral
1221,disgust
1222,anger
1223,anger
1224,neutral
1225,non-neutral
1226,anger
1227,anger
1228,non-neutral
1229,non-neutral
1230,neutral
1231,anger
1232,neutral
1233,non-neutral
1234,non-neutral
1235,sadness
1236,joy
1237,non-neutral
1238,non-neutral
1239,anger
1240,anger
1241,anger
1242,anger
1243,non-neutral
1244,non-neutral
1245,anger
1246,anger
1247,disgust
1248,anger
1249,anger
1250,non-neutral
1251,anger
1252,disgust
1253,sadness
1254,fear
1255,non-neutral
1256,anger
1257,anger
1258,anger
1259,anger
1260,anger
1261,non-neutral
1262,fear
1263,non-neutral
1264,anger
1265,non-neutral
1266,anger
1267,neutral
1268,neutral
1269,non-neutral
1270,non-neutral
1271,non-neutral
1272,fear
1273,anger
1274,anger
1275,anger
1276,anger
1277,anger
1278,anger
1279,anger
1280,anger
1281,anger
1282,anger
1283,non-neutral
1284,non-neutral
1285,disgust
1286,disgust
1287,disgust
1288,anger
1289,neutral
1290,sadness
1291,neutral
1292,sadness
1293,anger
1294,sadness
1295,non-neutral
1296,neutral
1297,sadness
1298,anger
1299,sadness
1300,fear
1301,sadness
1302,anger
1303,anger
1304,non-neutral
1305,anger
1306,anger
1307,anger
1308,anger
1309,surprise
1310,non-neutral
1311,anger
1312,neutral
1313,non-neutral
1314,fear
1315,neutral
1316,neutral
1317,surprise
1318,anger
1319,disgust
1320,neutral
1321,disgust
1322,anger
1323,anger
1324,sadness
1325,sadness
1326,neutral
1327,non-neutral
1328,anger
1329,anger
1330,anger
1331,non-neutral
1332,anger
1333,anger
1334,non-neutral
1335,neutral
1336,anger
1337,disgust
1338,sadness
1339,anger
1340,anger
1341,non-neutral
1342,anger
1343,non-neutral
1344,anger
1345,anger
1346,anger
1347,neutral
1348,sadness
1349,sadness
1350,non-neutral
1351,anger
1352,anger
1353,anger
1354,neutral
1355,anger
1356,neutral
1357,disgust
1358,neutral
1359,anger
1360,non-neutral
1361,non-neutral
1362,anger
1363,anger
1364,neutral
1365,non-neutral
1366,anger
1367,anger
1368,anger
1369,non-neutral
1370,non-neutral
1371,non-neutral
1372,anger
1373,non-neutral
1374,non-neutral
1375,non-neutral
1376,anger
1377,anger
1378,fear
1379,non-neutral
1380,sadness
1381,disgust
1382,neutral
1383,non-neutral
1384,fear
1385,non-neutral
1386,anger
1387,neutral
1388,sadness
1389,fear
1390,anger
1391,non-neutral
1392,disgust
1393,non-neutral
1394,sadness
1395,sadness
1396,anger
1397,sadness
1398,anger
1399,anger
1400,anger
1401,non-neutral
1402,non-neutral
1403,sadness
1404,anger
1405,neutral
1406,anger
1407,non-neutral
1408,disgust
1409,anger
1410,sadness
1411,neutral
1412,surprise
1413,anger
1414,non-neutral
1415,sadness
1416,anger
1417,anger
1418,sadness
1419,sadness
1420,sadness
1421,anger
1422,non-neutral
1423,non-neutral
1424,sadness
1425,surprise
1426,anger
1427,disgust
1428,sadness
1429,non-neutral
1430,non-neutral
1431,anger
1432,anger
1433,sadness
1434,anger
1435,anger
1436,non-neutral
1437,sadness
1438,anger
1439,anger
1440,non-neutral
1441,neutral
1442,neutral
1443,neutral
1444,anger
1445,non-neutral
1446,non-neutral
1447,sadness
1448,non-neutral
1449,anger
1450,sadness
1451,anger
1452,sadness
1453,sadness
1454,non-neutral
1455,non-neutral
1456,sadness
1457,non-neutral
1458,anger
1459,anger
1460,anger
1461,anger
1462,sadness
1463,anger
1464,anger
1465,anger
1466,anger
1467,non-neutral
1468,anger
1469,disgust
1470,anger
1471,disgust
1472,non-neutral
1473,non-neutral
1474,sadness
1475,surprise
1476,fear
1477,neutral
1478,neutral
1479,anger
1480,anger
1481,neutral
1482,neutral
1483,sadness
1484,non-neutral
1485,sadness
1486,anger
1487,neutral
1488,anger
1489,neutral
1490,anger
1491,neutral
1492,anger
1493,anger
1494,anger
1495,sadness
1496,non-neutral
1497,non-neutral
1498,sadness
1499,anger
1500,non-neutral
1501,anger
1502,fear
1503,non-neutral
1504,anger
1505,neutral
1506,neutral
1507,neutral
1508,anger
1509,non-neutral
1510,anger
1511,non-neutral
1512,anger
1513,anger
1514,non-neutral
1515,non-neutral
1516,anger
1517,anger
1518,non-neutral
1519,neutral
1520,disgust
1521,anger
1522,disgust
1523,anger
1524,anger
1525,neutral
1526,anger
1527,neutral
1528,anger
1529,anger
1530,non-neutral
1531,non-neutral
1532,non-neutral
1533,anger
1534,non-neutral
1535,non-neutral
1536,anger
1537,anger
1538,anger
1539,sadness
1540,non-neutral
1541,surprise
1542,neutral
1543,anger
1544,disgust
1545,anger
1546,sadness
1547,neutral
1548,non-neutral
1549,neutral
1550,anger
1551,anger
1552,sadness
1553,anger
1554,anger
1555,surprise
1556,neutral
1557,anger
1558,anger
1559,non-neutral
1560,anger
1561,sadness
1562,sadness
1563,anger
1564,anger
1565,non-neutral
1566,anger
1567,neutral
1568,anger
1569,disgust
1570,non-neutral
1571,non-neutral
1572,non-neutral
1573,anger
1574,non-neutral
1575,anger
1576,disgust
1577,sadness
1578,non-neutral
1579,non-neutral
1580,anger
1581,anger
1582,sadness
1583,anger
1584,anger
1585,anger
1586,anger
1587,anger
1588,anger
1589,non-neutral
1590,anger
1591,anger
1592,anger
1593,disgust
1594,non-neutral
1595,anger
1596,anger
1597,non-neutral
1598,neutral
1599,anger
1600,anger
1601,anger
1602,anger
1603,anger
1604,anger
1605,anger
1606,anger
1607,anger
1608,non-neutral
1609,non-neutral
1610,sadness
1611,anger
1612,neutral
1613,fear
1614,anger
1615,surprise
1616,anger
1617,sadness
1618,anger
1619,anger
1620,anger
1621,anger
1622,anger
1623,non-neutral
1624,anger
1625,surprise
1626,sadness
1627,anger
1628,anger
1629,anger
1630,disgust
1631,neutral
1632,neutral
1633,anger
1634,anger
1635,neutral
1636,non-neutral
1637,non-neutral
1638,neutral
1639,non-neutral
1640,anger
1641,disgust
1642,anger
1643,disgust
1644,anger
1645,anger
1646,sadness
1647,disgust
1648,anger
1649,anger
1650,sadness
1651,sadness
1652,anger
1653,anger
1654,disgust
1655,sadness
1656,neutral
1657,fear
1658,non-neutral
1659,anger
1660,anger
1661,anger
1662,anger
1663,surprise
1664,sadness
1665,non-neutral
1666,anger
1667,anger
1668,disgust
1669,neutral
1670,anger
1671,anger
1672,anger
1673,anger
1674,neutral
1675,neutral
1676,disgust
1677,surprise
1678,non-neutral
1679,anger
1680,non-neutral
1681,neutral
1682,sadness
1683,anger
1684,non-neutral
1685,sadness
1686,non-neutral
1687,neutral
